Player ID 	lname fname
beckf102	Beck Frank
beckf101	Beck Fred
beckg102	Beck George
beckr101	Beck Rich
beckr001	Beck Rod
beckz101	Beck Zinn
beckh101	Beckendorf Heinie
beckb101	Becker Beals
beckb102	Becker Bob
beckc102	Becker Charlie
beckh102	Becker Heinz
beckj102	Becker Joe
beckm101	Becker Marty
beckr002	Becker Rich
beckg101	Beckert Glenn
beckj002	Beckett Josh
beckr003	Beckett Robbie
beckg001	Beckham Gordon
beckt001	Beckham Tim
beckj103	Beckley Jake
beckj101	Beckman Jim
beckb103	Beckmann Bill
beckj001	Beckwith Joe
becqj101	Becquer Julio
bedae001	Bedard Erik
bedeh101	Bedell Howie
bedfg101	Bedford Gene
bedgp101	Bedgood Phil
