Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Lindblad      L   9   3   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Frank Linzy        R   8   2   0   1   0   0   0   0   0   0   1  .250  .222  .500 
Skip Lockwood      R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Jim Lonborg        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Aurelio Lopez      R  12   4   0   0   0   3   0   4   0   1   0  .333  .467  .333 
Sparky Lyle        L  11   5   0   0   0   1   0   4   0   1   0  .455  .500  .455 
Rick Lysander      R   6   2   1   0   0   1   0   1   0   0   0  .333  .429  .500 
Mike Marshall      R   7   0   0   0   0   2   0   1   0   2   0  .000  .222  .000 
Renie Martin       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tippy Martinez     L  10   1   1   0   0   3   0   3   0   0   0  .100  .308  .200 
Dennis Martinez    R  35  13   1   0   0   9   0   7   0   0   1  .371  .489  .400 
Jon Matlack        L  12   2   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Rudy May           L  20   4   0   0   0   0   0   6   0   0   0  .200  .200  .200 
Steve McCatty      R  15   3   0   0   0   1   0   0   0   0   0  .200  .250  .200 
Bob McClure        L   9   1   0   0   0   0   0   4   0   0   0  .111  .111  .111 
Lindy McDaniel     R   7   2   1   0   0   2   0   2   0   0   1  .286  .400  .429 
Scott McGregor     L  27   5   0   0   0   3   0   1   0   0   0  .185  .267  .185 
Byron McLaughlin   R   8   2   1   0   0   5   1   2   0   0   0  .250  .538  .375 
Joey McLaughlin    R   7   4   2   0   0   2   1   2   0   0   0  .571  .667  .857 
Bo McLaughlin      R   7   3   1   0   1   0   0   0   0   0   0  .429  .429 1.000 
Dave McNally       L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Doc Medich         R  52  16   3   0   1   5   0   1   1   2   0  .308  .379  .423 
Jim Merritt        L   4   1   0   0   0   0   0   0   0   0   1  .250  .200  .250 
Andy Messersmith   R   6   1   0   0   0   0   0   5   0   0   0  .167  .167  .167 
Dyar Miller        R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Mingori      L   8   3   1   0   0   0   0   1   1   0   0  .375  .444  .500 
Paul Mirabella     L   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Paul Mitchell      R  13   3   2   0   0   0   0   6   0   0   0  .231  .231  .385 
Sid Monge          L  10   2   0   0   0   1   0   3   0   0   0  .200  .273  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
John Montague      R  11   2   0   0   0   0   0   1   1   0   0  .182  .250  .182 
John Montefusco    R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Balor Moore        L   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Donnie Moore       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Moore         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Jack Morris        R  26   9   2   0   0   3   0   4   0   0   1  .346  .400  .423 
Tom Murphy         R   6   3   0   0   0   2   0   1   0   0   0  .500  .625  .500 
Dale Murray        R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Gene Nelson        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Phil Niekro        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mike Norris        R  24   4   0   0   0   2   0   3   1   0   2  .167  .241  .167 
Blue Moon Odom     R   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Bob Owchinko       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dave Pagan         R  11   6   1   1   0   2   0   0   0   0   0  .545  .615  .818 
Jim Palmer         R  55  15   2   2   0   8   0  13   0   0   1  .273  .359  .382 
Mike Parrott       R  16   4   0   1   0   4   0   3   0   1   0  .250  .400  .375 
Marty Pattin       R  21   6   2   1   1   3   0   6   0   0   1  .286  .360  .619 
